8,12.54,1740,524
20,12.59,1780,501
34,10.60,1870,524
48,10.34,1730,582
62,9.45,1210,536
76,7.84,1140,559
90,4.05,930,532
104,0.75,520,450
118,0.30,90,450
132,1.12,240,460
146,1.05,100,430
160,0.88,80,355
174,0.30,200,335
188,0.30,250,243
202,0.30,180,227
216,0.68,50,260
230,0.30,140,181
244,0.30,710,155
258,0.30,660,191
272,0.30,760,190
286,1.15,710,212
300,2.92,970,200
314,5.25,990,246
342,7.87,1690,313
