20,0.275761142,0.028824409,0.855581676,0.409832773,NaN
48,0.549260173,0.056893717,0.215232845,0.608613264,NaN
76,0.382207184,0.326344182,0.558082873,4.463365761,NaN
104,0.019367893,0.063122602,1.981830934,20.76567857,NaN
132,0.218351804,0.211933423,5.180594768,2.899120005,NaN
160,0.074308642,0,3.641355677,0.004335681,NaN
188,0,2.94E-03,8.613948647,0.063108566,NaN
216,0.597373424,0.009424496,14.96178234,1.861419739,NaN
244,3.01356152,0.340042465,15.52416088,13.21223513,NaN
272,0.094191623,0.234342476,6.955879845,8.125586056,NaN
300,0.276168388,0.102295905,3.307200935,2.284334772,NaN
